
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="Afrikaans",="Agriculture",="Biology",="English",="Geography",="Math",="Physical Science"

="Treat",="-0.02",="0.28***",="0.03**",="-0.07***",="0.21***",="0.03**",="0.06***"
="",="[0.02]",="[0.01]",="[0.01]",="[0.01]",="[0.01]",="[0.01]",="[0.01]"
="Post",="-0.12**",="0.06*",="-0.03",="-0.28***",="0.09***",="-0.37***",="-0.05*"
="",="[0.04]",="[0.03]",="[0.02]",="[0.02]",="[0.03]",="[0.02]",="[0.02]"
="Treat x Post",="0.06",="-0.05",="-0.05",="-0.43***",="0.02",="-0.29***",="-0.05"
="",="[0.06]",="[0.04]",="[0.03]",="[0.02]",="[0.04]",="[0.03]",="[0.03]"

="Observations",="7555",="23142",="39367",="64757",="23941",="56351",="37547"
="R-squared",="0.019",="0.005",="0.004",="0.045",="0.006",="0.036",="0.003"
="Control Mean",="4.13",="4.46",="5.15",="5.16",="5.20",="4.83",="4.72"

="Standard errors in brackets"
="* p<0.05, ** p<0.01, *** p<0.001"
